site_id,gravity
B45M,980430.324
AFNT,980421.287
AFNN,980416.646
AFNH,980398.173
AFN4,980371.277
AFNA,980363.98
AFMU,980358.969
B44M,980351.259
AFMK,980345.283
AF7B,980329.506
AF59,980323.64
AF5H,980320.094
AF5Q,980313.399
AF5U,980294.045
B42D,980285.682
AF6D,980280.367
AF6K,980260.98
AF6R,980265.911
B42H,980264.22
AEM7,980258.06
AEMB,980246.993
AEML,980223.725
AECH,980218.091
AECM,980191.663
AECW,980175.842
AEC3,980160.801
AEBX,980213.168
AEBR,980230.105
AEBH,980251.489
AEB8,980219.509
AEB1,980209.898
B3TG,980237.714
ADV1,980265.668
ADUW,980268.231
B3PG,980288.102
B3PF,980299.857
ADUJ,980301.462
ADUA,980282.707
ADU3,980285.624
ADBC,980287.436
ADBQ,980294.179
ADB1,980318.751
ADBP,980320.797
B3HX,980333.37
ADCD,980330.302
ADC6,980332.269
B3J5,980327.105
ADBV,980317.829
B3FN,980324.379
AECB,980249.678
ADWR,980244.064
ADWK,980234.887
ADWD,980225.545
ADW6,980223.718
ADVY,980217.223
ADJU,980219.419
B3L3,980256.627
ADJG,980257.844
ADJB,980259.52
ADJ5,980266.453
ADJ0,980269.958
B3K2,980271.843
B3L1,980278.278
B3K7,980281.974
B3K8,980283.181
B3K9,980281.09
B3KA,980283.334
B3KC,980281.441
B3KG,980276.352
B3KJ,980287.062
B3KL,980283.829
B3KM,980291.544
B3KN,980295.152
B3KP,980291.295
B3KQ,980301.894
B3KX,980301.505
B3J2,980309.709
3624,980125.835
DRJW,980161.079
DRJT,980157.692
AF7D,980271.961
ADVC,980289.576
B3PJ,980296.16
ADVN,980310.368
ADVT,980321.733
6786,980330.575
AAY8,980348.612
AAY5,980346.65
B3RQ,980351.393
B3RP,980357.283
5128,980358.866
AE4G,980381.089
AE49,980389.004
B8DY,980386.09
B8E4,980385.4
B88U,980381.483
B8EA,980383.715
B8EF,980388.232
B8EM,980393.726
B8EU,980395.722
B8F2,980397.183
B8F7,980395.379
B8FD,980380.819
B8FK,980390.608
B8FT,980387.862
B8G3,980398.28
B8G8,980398.69
B8GD,980388.862
B8GJ,980386.794
B8GP,980382.668
B8GV,980385.493
B8H1,980394.701
B8B0,980394.545
B8B5,980404.099
B8BB,980403.023
B8BH,980383.022
B8BN,980406.034
B8BU,980403.73
B8C1,980397.342
B8C8,980413.881
ER1A,980524.287
ER1B,980511.395
ER1C,980535.833
ER1D,980564.459
ER1E,980571.133
ER1F,980584.987
ER1G,980597.561
ER1H,980612.915
ER1J,980625.486
ER1K,980630.905
ER1L,980642.838
ER1M,980657.476
ER1N,980670.632
ER1P,980682.924
ER1Q,980693.997
B8CD,980418.398
B8CH,980421.236
B8CM,980425.411
B8CQ,980416.756
B8CY,980411.385
B8D6,980414.161
B8DE,980360.208
B8DM,980379.278
B8H7,980412.834
B8HB,980430.271
B8HF,980446.658
B8HJ,980440.953
6737,980447.1
B8HV,980455.204
B8J3,980456.445
B8J8,980462.562
B8JC,980459.182
B8JG,980456.052
B8JK,980454.522
B8JQ,980469.098
B8JX,980467.474
B8K9,980465.385
B8M7,980476.182
B8MA,980485.115
B8MJ,980471.73
B8MT,980481.532
B8MY,980489.289
B8N3,980489.277
B8N7,980491.636
B4QB,980484.66
AP03,980479.094
B8KH,980466.03
B8KQ,980465.669
B8KV,980465.657
B8L1,980456.272
B8L9,980444.781
B8LF,980433.665
B8LM,980434.737
B8LU,980362.948
B8LY,980357.827
AG45,980454.861
AFTW,980446.857
B48D,980437.568
AFU3,980432.705
AFTN,980430.352
AFTQ,980424.26
AFTU,980413.081
AFTJ,980408.43
AFU6,980413.901
AFUA,980420.26
AFUD,980421.188
AFUQ,980419.63
AFXK,980425.465
B48U,980424.649
B436,980423.878
AFBL,980409.529
AFBR,980395.018
B431,980423.373
5129,980369.577
AFBC,980379.377
AFCL,980377.346
AFQF,980375.585
BT3W,980388.873
B470,980402.53
AFQY,980403.234
B47G,980416.422
B47N,980435.446
B47W,980438.988
B481,980443.196
AFTB,980450.171
AFUU,980455.206
AFT2,980461.546
ABFM,980471
ABFR,980481.539
ABG7,980500.268
ABGF,980518.896
ABGL,980527.823
B2Y2,980537.516
B2Y7,980545.761
B2XW,980537.359
B2Y0,980527.193
B2XK,980518.057
B2XN,980512.233
B2XT,980514.361
B2XG,980490.864
AAYV,980475.174
AB3R,980462.634
AB3V,980445.368
AB3K,980441.262
B303,980426.07
AB2T,980410.902
AB2X,980391.39
AB32,980380.851
AB35,980367.116
AB3A,980358.989
B2YX,980341.758
AB2M,980317.733
ACCG,980307.581
E9XW,980310.313
E9XP,980327.73
E0J5,980349.29
E0J2,980366.151
E9YT,980377.84
E9YY,980380.661
EQ1C,980351.13
E0HM,980348.741
E0HJ,980373.614
E0HF,980389.995
ER19,980395.276
EQ0V,980382.144
ER13,980388.06
ER0U,980406.103
ER0K,980418.237
ER12,980411.991
ER11,980398.886
ER10,980388.868
ER0Y,980380.251
ER0X,980368.924
ER0W,980354.684
ER0V,980315.543
ER0T,980369.684
ER0R,980408.322
ER0Q,980420.168
ETX3,980435.812
ER0P,980449.447
ER0N,980461.756
ER0M,980456.532
ER0L,980470.838
ADHU,980259.527
B3JU,980245.129
B3GD,980239.765
B3G8,980231.356
B3FT,980228.623
AD1Y,980213.921
AD1M,980206.524
AD1G,980207.804
AD25,980227.592
AD2B,980221.438
ADTC,980200.994
B3PA,980187.752
B3PB,980158.772
ADTR,980152.836
B3G4,980180.366
AD4E,980207.14
AD4H,980193.015
AD4L,980196.227
B3H7,980203.707
B3H8,980202.029
AD4W,980206.44
B3H9,980210.911
AD52,980217.396
AD56,980223.503
AD5A,980229.868
AD5D,980237.084
AD5H,980242.283
AD5K,980243.601
AD5N,980239.48
AD5R,980241.095
AD5V,980243.447
AD5Y,980247.965
AD7V,980246.708
AD83,980251.503
AD87,980243.926
AD8G,980237.232
AD8L,980238.968
AD8Q,980255.995
AD8V,980275.639
AD90,980281.227
AD95,980287.29
AD9A,980294.682
AD9F,980290.65
B3HT,980297.715
AE3W,980303.744
AE1M,980306.286
AE1R,980316.92
AE1W,980328.027
AE23,980325.57
AE27,980336.684
AE2B,980341.087
AEJA,980345.711
AEJG,980351.539
AEJM,980347.947
AEJ1,980359.532
B3VD,980361.108
B3VA,980363.191
B3V5,980361.725
AFJD,980361.287
AFJ8,980335.552
AFKN,980366.079
AFKJ,980367.457
AFKD,980349.533
AFK9,980352.748
AFK0,980334.387
AFJP,980348.869
AFJK,980324.381
AF79,980323.342
AF74,980320.237
B88Y,980376.779
B892,980367.356
B897,980354.462
B89A,980368.792
B89F,980364.479
B89L,980365.11
B89T,980362.847
B89X,980349.114
5120,980338.227
B8A6,980332.07
B8AC,980306.651
B8AH,980284.713
5114,980211.618
B87J,980204.77
5111,980230.744
B877,980250.962
B870,980263.738
B86T,980265.814
B86K,980273.626
B86E,980274.049
B867,980275.848
B861,980243.255
B85W,980272.679
B85P,980268.806
B85J,980259.629
B85B,980284.496
B853,980343.663
B850,980368.046
B84T,980389.145
B84L,980408.726
ADEH,980767.934
B3YV,980703.26
EV2Q,980537.019
EV2X,980526.479
EV34,980515.862
EV3A,980511.366
EV3G,980505.704
B8LR,980384.155
ABL8,980290.083
ABLA,980290.02
ABKX,980282.976
ABKR,980270.9
ABKM,980284.101
ABKG,980288.414
ABKA,980286.775
ACY9,980281.647
ACY3,980249.549
ACXY,980259.858
ACXT,980254.353
ACXN,980239.894
ACXH,980240.27
B3F7,980225.095
ACWV,980205.515
ACX0,980191.301
ACX4,980184.454
ACXC,980162.808
ADRK,980174.431
